Kod produktu,active,stock,price,Nazwa produktu,Kondycja|797|select,Producent|798|select,Model|799|text,Seria procesora|800|select,Stan ekranu|801|text,Stan obudowy|802|text,Procesor|803|select,Ilość rdzeni|805|select,Ilość pamięci RAM|806|select,Dysk|808|select,Licencja|811|select,Ekran dotykowy|814|select,Rozdzielczość ekranu|815|select,Przekątna ekranu|816|select,Rodzaj karty graficznej|818|select,Bateria|823|select,Zainstalowany system|1078|select,1,2,3,4
4622,1,75,1199,"Laptop HP ZBook 14u G5 i5 - 7200U | 16GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 [A-]","""A-"" poleasingowy, przetestowany",HP,ZBook 14u G5,Intel Core i5,Standardowe mikro otarcia/poświatki,"Małe ślady użytkowania w postaci otarć, mało widocznych śladów po naklejce","i5 - 7200U, 3MB Cache, 7 gen.",2,16GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Dedykowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 11 Pro,b,a,b,
4005,1,85,1199,"Laptop HP ZBook 14u G5 i5 - 7200U | 16GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",HP,ZBook 14u G5,Intel Core i5,Standardowe mikro otarcia/poświatki,"Małe ślady użytkowania w postaci otarć, mało widocznych śladów po naklejce","i5 - 7200U, 3MB Cache, 7 gen.",2,16GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"14""",Dedykowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,b,a,b,
4633,1,84,749,"Laptop Dell Latitude E5550 i5 - 5300U | 8GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Dell,Latitude E5550,Intel Core i5,"Możliwe drobne ryski, poświatka, do 3 bad pixeli","Normalne, małe ślady użytkowania","i5 - 5300U, 3MB Cache, 5 gen.",2,8GB,240GB,Windows 8.1 PRO,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,c,a,b,
4647,1,28,799,"Laptop Lenovo ThinkPad T540p i5 - 4300M | 8GB 180GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Lenovo,ThinkPad T540p,Intel Core i5,"Możliwe małe otarcia, poświatka",Normalne ślady użytkowania,"i5 - 4300M 3MB Cache, 4 gen.",2,8GB,180GB,Windows 8.1 PRO,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,c,a,b,
5088,1,88,849,"Laptop Dell Latitude E5550 i5 - 5300U | 16GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Dell,Latitude E5550,Intel Core i5,"Możliwe drobne ryski, poświatka, do 3 bad pixeli","Normalne, małe ślady użytkowania","i5 - 5300U, 3MB Cache, 5 gen.",2,16GB,240GB,Windows 8.1 PRO,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,c,a,b,
4952,1,133,849,"Laptop Dell Latitude E5550 i5 - 5300U | 8GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Dell,Latitude E5550,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 5300U, 3MB Cache, 5 gen.",2,8GB,240GB,Windows 8.1 PRO,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,c,a,b,
5533,1,100,888,"Laptop Lenovo ThinkPad T540p i5 - 4300M | 8GB 180GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Lenovo,ThinkPad T540p,Intel Core i5,Ekran bez wad,Normalne ślady użytkowania,"i5 - 4300M 3MB Cache, 4 gen.",2,8GB,180GB,Windows 8.1 PRO,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,c,a,b,
4243,1,87,899,"Laptop Dell Latitude E5550 i5 - 5300U | 16GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",Dell,Latitude E5550,Intel Core i5,"Możliwe drobne ryski, poświatka, do 3 bad pixeli","Normalne, małe ślady użytkowania","i5 - 5300U, 3MB Cache, 5 gen.",2,16GB,480GB,Windows 8.1 PRO,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,c,a,b,
5081,1,134,999,"Laptop Dell Latitude E5550 i5 - 5300U | 16GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Dell,Latitude E5550,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 5300U, 3MB Cache, 5 gen.",2,16GB,240GB,Windows 8.1 PRO,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,c,a,b,
5977,1,133,1099,"Laptop Dell Latitude E5550 i5 - 5300U | 16GB 960GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Dell,Latitude E5550,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 5300U, 3MB Cache, 5 gen.",2,16GB,960GB,Windows 8.1 PRO,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,c,a,b,
5152,1,20,1199,"Laptop HP ZBook 15u G3 i7-6500U,  | 16GB 512GB 500GB SSD+HDD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",HP,ZBook 15u G3,Intel Core i7,"Drobne ryski, otarcia, poświaty",Normalne ślady użytkowania,"i7 - 6500U, 4MB Cache, 6gen.",2,16GB,512GB,Windows 10 Professional,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,c,a,b,
4361,1,20,1349,"Laptop HP ZBook 15u G3 i7-6500U,  | 16GB 512GB 500GB SSD+HDD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",HP,ZBook 15u G3,Intel Core i7,Bez wad,Normalne ślady użytkowania,"i7 - 6500U, 4MB Cache, 6gen.",2,16GB,512GB,Windows 10 Professional,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,c,a,b,
4986,1,136,1599,"Laptop Dell Latitude E5550 i5 - 5300U | 4GB 120GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Dell,Latitude E5550,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 5300U, 3MB Cache, 5 gen.",2,4GB,120GB,Windows 8.1 PRO,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,c,a,c,
6200,1,23,1799,"Laptop Apple Apple MacBook Pro A1707 2017r. i7 - 7700H | 16GB 256GB SSD | 15,4"" 2880 x 1800 | Mac OS Ventura [A-]","""A-"" poleasingowy, przetestowany",Apple,Apple MacBook Pro A1707 2017r.,Intel Core i7,Małe otarcia,"Normalne ślady użytkowania, małe ryski/otarcia","i7 - 7700HQ, 6MB Cache, 7 gen.",4,16GB,256GB,Brak,Nie,2880 x 1800,"15,4""",Dedykowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)","MacOS 13, Ventura",c,a,c,
4245,1,14,899,"Laptop HP ZBook 15 G2 i7 - 4600M | 16GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",HP,ZBook 15 G2,Intel Core i7,"Możliwe drobne otarcia, ryski, poświaty",Normalne ślady użytkowania,"i7 - 4600M, 4MB Cache, 4 gen.",4,16GB,240GB,Windows 8.1 PRO,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,c,a,b,
3963,1,15,1099,"Laptop Lenovo ThinkPad W541 i7 - 4800M | 16GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Lenovo,ThinkPad W541,Intel Core i7,Bez wad,Normalne ślady użytkowania,"i7 - 4800MQ, 6MB Cache, 4 gen.",4,16GB,480GB,Windows 7 Professional,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,c,a,b,
6133,1,18,1099,"Laptop HP ZBook 15 G2 i7 - 4700M | 16GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",HP,ZBook 15 G2,Intel Core i7,"""A"" Bez wad matrycy",Normalne ślady użytkowania,"i7 - 4700MQ, 6MB Cache, 4 gen.",4,16GB,480GB,Windows 8.1 PRO,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,c,a,b,
5858,1,43,1199,"Laptop HP Zbook 15 G3 i7 - 6700H | 16GB 256GB 1TB SSD+HDD | 15,6"" 1920 x 1080 | Windows 10 lub Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",HP,Zbook 15 G3,Intel Core i7,"Ekran bez wad, klasa ""A""",Normalne ślady użytkowania,"i7 - 6700HQ, 6MB Cache, 6 gen.",4,16GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 lub 11 Pro,c,a,b,
4875,1,42,1449,"Laptop HP ZBook 15u G6 i7 - 8665U | 16GB 512GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",HP,ZBook 15u G6,Intel Core i7,"Występują drobne ryski, otarcia, poświaty","Normalne, małe ślady użytkowania","i7 - 8665U, 8MB Cache, 8 gen.",4,16GB,512GB,Windows 10 Professional,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,c,a,c,
10406,1,10,1699,"Laptop HP ZBook Firefly 15 G7 i7 - 10610 | 16GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",HP,ZBook Firefly 15 G7,Intel Core i7,"Drobne ryski, otarcia, poświaty",Minimalne ślady użytkowania,"i7 - 10610U, 8MB Cache, 10 gen.",4,16GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy minimum 1h (używana)",Windows 11 Pro,c,a,c,
5347,1,33,1699,"Laptop HP ZBook 15u G6 i7 - 8665U | 16GB 512GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",HP,ZBook 15u G6,Intel Core i7,Bez wad,"Normalne, małe ślady użytkowania","i7 - 8665U, 8MB Cache, 8 gen.",4,16GB,512GB,Windows 10 Professional,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,c,a,c,
4940,1,16,1749,"Laptop Dell Precision 7520 i7 - 6820H | 32GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",Dell,Precision 7520,Intel Core i7,Bez wad,"Normalne, małe ślady użytkowania","i7 - 6820HQ, 8MB Cache, 6 gen.",4,32GB,480GB,Windows 10 Professional,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,c,a,c,
4596,1,20,1899,"Laptop Dell Precision 5520 i7 - 6820H | 32GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Dell,Precision 5520,Intel Core i7,"Występują drobne ryski, otarcia, poświatki","Normalne, małe ślady użytkowania","i7 - 6820HQ, 8MB Cache, 6 gen.",4,32GB,480GB,Windows 10 Professional,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,c,a,c,
10407,1,10,1999,"Laptop HP ZBook Firefly 15 G7 i7 - 10610 | 16GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",HP,ZBook Firefly 15 G7,Intel Core i7,Bez wad,Minimalne ślady użytkowania,"i7 - 10610U, 8MB Cache, 10 gen.",4,16GB,256GB,Windows 10 Professional,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy minimum 1h (używana)",Windows 11 Pro,c,a,c,
5577,1,39,2299,"Laptop Apple Apple MacBook Pro A1707 2017r. | 16GB 500GB SSD | 15,6"" | Mac OS 13, Ventura [A-]","""A-"" poleasingowy, przetestowany",Apple,Apple MacBook Pro A1707 2017r.,Intel Core i7,Małe otarcia,"Normalne ślady użytkowania, małe ryski/otarcia. Na klapie ślad po naklejce",i7 7820HQ,4,16GB,500GB,Brak,Nie,,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 2h (używana)","MacOS 13, Ventura",c,a,c,
4771,1,50,2599,"Laptop Apple Apple MacBook Pro A1707 2017r. | 16GB 500GB SSD | 15,6"" | Mac OS 13, Ventura [A-]","""A-"" poleasingowy, przetestowany",Apple,Apple MacBook Pro A1707 2017r.,Intel Core i7,Małe otarcia,"Normalne ślady użytkowania, małe ryski/otarcia",i7 7820HQ,4,16GB,500GB,Brak,Nie,,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 2h (używana)","MacOS 13, Ventura",c,a,c,
6310,1,12,3999,"Laptop Dell XPS 15 9570 i9 - 8950H | 32GB 1TB SSD | 15,6"" 3840 x 2160 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",Dell,XPS 15 9570,Intel Core i9,Bez wad,"Normalne, małe ślady użytkowania","i9 - 8950HK, 12MB Cache, 8 gen.",6,32GB,1TB,Windows 11 Pro,Tak,3840 x 2160,"15,6""",Dedykowana,Nowy zamiennik,Windows 11 Pro,c,a,c,
5520,1,11,2899,"Laptop Dell Precision 7730 i7 - 8750H | 32GB 512GB SSD | 17,3"" 1920 x 1080 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",Dell,Precision 7730,Intel Core i7,Bez wad,"Normalne, małe ślady użytkowania","i7 - 8750H, 9MB Cache, 8 gen.",6,32GB,512GB,Windows 10 Professional,Nie,1920 x 1080,"17,3""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,c,a,c,
5838,1,44,2999,"Laptop HP ZBook 17 G5 i7 - 8850H | 32GB 1TB 500GB SSD+HDD | 17,3"" 1920 x 1080 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",HP,ZBook 17 G5,,Bez wad,"Normalne, małe slady użytkowania","i7 - 8850H, 9MB Cache, 8 gen.",6,32GB,1TB,Windows 11 Pro,Nie,1920 x 1080,"17,3""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,c,a,c,
5601,1,21,3999,"Laptop HP ZBook 17 G5 i7 - 9850H | 32GB 1TB 1TB SSD+HDD | 17,3"" 1920 x 1080 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",HP,ZBook 17 G5,Intel Core i7,Bez wad,"Normalne, małe slady użytkowania","i7 - 9850H, 12MB Cache, 9 gen.",6,32GB,1TB,Windows 11 Pro,Nie,1920 x 1080,"17,3""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,c,a,c,
5604,1,45,3090,"Laptop Apple Apple MacBook Pro A1990 2019r. i9 - 9880H | 32GB 512GB SSD | 15,6"" 2880 x 1800 | MacOS 13, Ventura [A-]","""A-"" poleasingowy, przetestowany",Apple,Apple MacBook Pro A1990 2019r.,Intel Core i9,Mikro otarcia,"Normalne ślady użytkowania, małe ryski/otarcia","i9 - 9880H, 16MB Cache, 9 gen.",8,32GB,512GB,Mac OS,Nie,2880 x 1800,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)","MacOS 13, Ventura",c,a,c,
4590,1,24,3499,"Laptop Apple MacBook Pro A2141 2019r. i9 - 9880H | 32GB 1TB SSD | 16"" | MacOS 13, Ventura [A-]","""A-"" poleasingowy, przetestowany",Apple,MacBook Pro A2141 2019r.,Intel Core i9,"Minimalne otarcia, praktycznie niewidoczne przy włączonym ekranie",Normalne ślady użytkowania,"i9 - 9880H, 16MB Cache, 9 gen.",8,32GB,1TB,Brak,Nie,,"16""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)","MacOS 13, Ventura",c,a,c,
6311,1,13,3999,"Laptop Apple MacBook Pro A2141 2019r. i9 - 9880H | 32GB 1TB SSD | 16"" | MacOS 13, Ventura [A]","""A"" poleasingowy, przetestowany",Apple,MacBook Pro A2141 2019r.,Intel Core i9,Bez wad,Normalne ślady użytkowania,"i9 - 9880H, 16MB Cache, 9 gen.",8,32GB,1TB,Brak,Nie,,"16""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)","MacOS 13, Ventura",c,a,c,
4908,1,18,799,"Laptop HP ZBook 15 G2 i5 - 4300M | 16GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",HP,ZBook 15 G2,Intel Core i5,"Występują ryski, otarcia, poświatki",Normalne ślady użytkowania,"i5 - 4300M 3MB Cache, 4 gen.",,16GB,240GB,Windows 7 Professional,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,c,a,b,
5281,1,20,222,"Laptop Asus Chromebook C204E | 4GB 32GB SSD | 11,6"" 1366 x 768 | Chrome OS [A]","""A"" poleasingowy, przetestowany",Asus,Chromebook C204E,Intel Celeron,Bez wad,"Normalne ślady użytkowania, możliwy skin na klapie",,2,4GB,32GB,Chrome OS,Nie,1366 x 768,"11,6""",Zintegrowana,"Oryginalna, czas pracy min. 2h (używana)",Chrome OS,a,b,a,
4019,1,15,299,"Laptop Dell Chromebook 3100 2-in-1 | 4GB 32GB | 11,6"" 1366 x 768 | ChromeOS [A]","""A"" poleasingowy, przetestowany",Dell,Chromebook 3100 2-in-1,Intel Celeron,Bez wad,Normalne ślady użytkowania,,2,4GB,32GB,,Tak,1366 x 768,"11,6""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Chrome OS,a,b,a,
4309,1,20,299,"Laptop Acer Chromebook R752 | 4GB 32GB | 11,6"" 1366 x 768 | Chrome OS [A]","""A"" poleasingowy, przetestowany",Acer,Chromebook R752,Intel Celeron,Bez wad,"Normalne ślady użytkowania, możliwy skin",,2,4GB,32GB,Chrome OS,Tak,1366 x 768,"11,6""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Chrome OS,a,b,a,
4496,1,16,799,"Laptop Lenovo Miix 510-12IKB i5 - 7200U | 8GB 256GB SSD | 12,2"" 1920 x 1080 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Lenovo,Miix 510-12IKB,Intel Core i5,"Występują poświatki, drobne otarcia, ryski","Normalne, małe ślady użytkowania, naklejony profesjonalnie wykonany skin","i5 - 7200U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Tak,1920 x 1080,"12,2""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,a,b,b,
5085,1,34,475,"Laptop HP EliteBook 820 G3 i5 - 6200U | 8GB 240GB SSD | 12,5"" 1366 x 768 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",HP,EliteBook 820 G3,Intel Core i5,"Możliwe drobne ryski, poświatki",Normalne ślady użytkowania,"i5 - 6200U, 3MB Cache, 6 gen.",2,8GB,240GB,Windows 10 Professional,Nie,1366 x 768,"12,5""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Windows 10 Professional,a,b,a,
4577,1,64,549,"Laptop Dell Latitude 5290 i5 - 7300U | 8GB 256GB SSD | 12,5"" 1366 x 768 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Dell,Latitude 5290,Intel Core i5,"Możliwe delikatne otarcia, poświatki,ryski","Normalne, małe ślady użytkowania","i5 - 7300U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1366 x 768,"12,5""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 11 Pro,a,b,a,
4110,1,20,599,"Laptop Dell Latitude 5289 i5 - 7300U | 8GB 240GB SSD | 12,5"" 1920 x 1080 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Dell,Latitude 5289,Intel Core i5,"Możliwe drobne ryski, otarcia, poświatki","Normalne ślady użytkowania, ryski/otarcia na klapie","i5 - 7300U, 3MB Cache, 7 gen.",2,8GB,240GB,Windows 10 Professional,Tak,1920 x 1080,"12,5""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,a,b,a,
